,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
10,10,DC,38.08081266329531,-75.4644760992744,sdv-pii-w30p0,sdv-pii-opk0a,sdv-pii-o67ir,sdv-pii-nt8o4,sdv-pii-hcecq,1,07/26/2007,,04/14/2011,07/05/2010,4.834024449481183,7.314606533267,3.1879667623844163,,6,2,11000,3,CA,1,0,0,1,0,medical,0,0,0,0,0,0,0,0,0,0,sdv-pii-5wzsz,1,0,1,1,0,0,4.992658840907931,1,closed
11,11,CA,46.94748685965954,-91.19627336734263,sdv-pii-sglqe,sdv-pii-26b1t,sdv-pii-bcznu,sdv-pii-t0rqt,sdv-pii-ydwu8,1,02/27/2008,,07/07/2004,02/27/2012,8.791633392671663,7.372661646546357,3.4635342176098733,4.9732427828901224,0,2,11000,3,VA,0,0,0,0,0,games_video,0,0,0,0,0,0,0,0,0,0,sdv-pii-v18hs,1,0,1,0,0,0,2.951573381892788,0,acquired
12,12,CA,37.859201460978944,-70.02490324604686,sdv-pii-rye6d,sdv-pii-45ymy,sdv-pii-aiezr,,sdv-pii-u54vd,0,12/09/2008,02/16/2012,03/01/2006,07/29/2011,2.2035709006050346,15.560168812288417,3.2084813426315075,4.400935127363646,3,3,11000,4,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,sdv-pii-8pkm0,1,1,0,0,0,1,1.5144519350734997,1,closed
13,13,WA,37.091211854678875,-63.9821565694637,sdv-pii-72dcg,sdv-pii-8jgmf,sdv-pii-sfeed,,sdv-pii-0fgua,0,05/16/2002,10/28/2011,05/23/2003,09/06/2011,2.022111047999687,21.8959,0.35701955520348416,4.952855343154384,4,2,11000,4,CO,1,0,0,0,0,mobile,0,0,0,0,0,0,0,0,1,1,sdv-pii-0lw26,0,0,0,0,0,0,1.5138765294708265,1,acquired
14,14,OH,44.72948403872374,-84.08820998339094,sdv-pii-tkdji,sdv-pii-n5sgb,sdv-pii-uqw13,sdv-pii-ku9sv,sdv-pii-k088e,0,10/13/2007,11/12/2011,07/30/2006,11/12/2012,7.5209696424224255,12.301893011199088,3.858513609528195,0.30550890966249966,2,3,11000,4,WA,0,0,0,0,0,consulting,0,0,0,0,0,0,0,0,0,0,sdv-pii-57kdj,0,0,1,1,0,0,4.794648047855279,1,acquired
15,15,CA,38.03502694219462,-71.32336131598993,sdv-pii-ms83y,sdv-pii-pm6jc,sdv-pii-uvwib,sdv-pii-qmzlx,sdv-pii-s2fkq,1,05/31/2008,,03/02/2005,09/01/2010,13.197844980820491,7.351069892488829,2.2768877218257706,4.114125216264442,3,1,11000,1,NC,0,0,0,0,0,web,0,0,0,0,0,0,0,0,0,0,sdv-pii-1e4yk,0,0,0,1,0,0,2.3847151251999987,1,acquired
16,16,MA,37.98630535247894,-64.05437429888832,sdv-pii-oc1en,sdv-pii-bt9hi,sdv-pii-z8amu,sdv-pii-d0yg8,sdv-pii-cd1kh,1,04/30/2001,,02/27/2006,11/05/2010,14.070232934502581,12.420258864620084,3.487309218864785,,0,1,11000,1,CA,0,0,0,0,0,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-ugobf,1,0,0,0,1,0,5.7079087832881985,1,acquired
17,17,CA,38.35606943429464,-73.3619047390374,sdv-pii-f59m5,sdv-pii-44s1y,sdv-pii-e8ifl,sdv-pii-o9fhu,sdv-pii-fshcr,1,04/08/2002,,11/02/2006,10/01/2004,1.2558657537385725,3.7660672622288796,,1.3598604655100086,1,4,241374238,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,sdv-pii-t1wdw,1,1,1,1,0,0,1.7357162026257962,1,acquired
18,18,CA,37.5025124171175,-64.86681576120209,sdv-pii-c5zhi,sdv-pii-iuwcp,sdv-pii-bc4eb,sdv-pii-68j2n,sdv-pii-mrd8v,0,03/13/2008,07/11/2012,10/03/2008,07/27/2013,0.6045942810861129,-0.061562316710000786,,,0,5,11000,1,NY,0,0,0,0,0,biotech,0,0,0,0,0,0,0,0,0,1,sdv-pii-rkvft,0,0,0,1,0,0,1.600082870781831,1,closed
19,19,GA,38.13058054996964,-66.98875071796989,sdv-pii-chun5,sdv-pii-uopxy,sdv-pii-k7pn1,sdv-pii-y2clo,sdv-pii-xn3b5,1,07/23/2011,,08/28/2004,03/15/2010,7.702669951294826,2.8822976185910862,3.1915048757643603,4.445206325380813,0,1,11000,1,CA,0,0,0,0,1,messaging,0,0,0,0,0,1,0,0,0,0,sdv-pii-xchcn,0,0,1,0,0,0,1.2160307645750918,1,closed
20,20,MA,37.99250581772113,-81.48849548143156,sdv-pii-ipayn,sdv-pii-u1ev5,sdv-pii-aybdt,sdv-pii-1thoz,sdv-pii-8xoh7,0,02/01/2002,,09/02/2003,05/04/2007,1.8977401579510569,3.5474740479955784,4.701075885405603,4.857111806979544,0,1,54803618,3,WA,1,0,0,0,0,web,0,0,0,0,0,0,0,0,0,0,sdv-pii-vorp7,0,1,0,1,0,0,1.6505072805308123,1,closed
21,21,NY,41.651805734140225,-68.46835887133729,sdv-pii-gdxgj,sdv-pii-xjkvo,sdv-pii-wp11p,,sdv-pii-ip670,0,04/12/2004,10/28/2011,06/13/2008,03/23/2012,1.7815921502114596,7.226671191301811,1.7302867427499478,6.158366862700248,0,1,9404384,2,WA,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,sdv-pii-uu1bg,0,0,1,1,0,0,4.9178053105391655,1,closed
22,22,CA,34.619690129847534,-92.4520205071954,sdv-pii-5bjqj,sdv-pii-ansia,sdv-pii-zd4lc,sdv-pii-77cyv,sdv-pii-m7hht,1,03/21/2010,11/14/2011,04/20/2005,06/22/2012,15.56428444830733,0.44226035331521807,6.025179147535476,5.008152411925336,0,2,11000,2,CA,0,0,0,0,1,games_video,1,0,0,0,0,1,0,0,0,0,sdv-pii-7j0e7,0,0,0,0,0,0,2.6535039277085275,1,closed
23,23,MA,38.14380359938859,-65.54930469010712,sdv-pii-0806q,sdv-pii-iwyow,sdv-pii-8rbod,sdv-pii-n3p8o,sdv-pii-w4a1a,0,05/15/2009,11/16/2011,07/29/2012,10/31/2005,6.490129897699626,12.409521007410891,4.856104671584376,,11,2,11000,3,CA,0,0,0,0,1,software,0,0,0,0,0,0,0,0,0,1,sdv-pii-w1kzx,0,0,0,0,0,0,1.0,1,acquired
24,24,CA,45.008321035664636,-67.84888477687355,sdv-pii-bkzqt,sdv-pii-b62mv,sdv-pii-apbpr,,sdv-pii-gauhl,1,02/24/2008,,01/23/2005,07/05/2009,8.839797501337943,7.719125860449645,2.5778831144852004,,5,3,11000,1,WA,0,0,0,0,0,biotech,0,0,0,0,0,0,0,0,0,0,sdv-pii-yefmm,1,0,0,1,0,0,13.01338329327975,0,closed
25,25,NH,37.96644304669864,-72.23526618870648,sdv-pii-0glvj,sdv-pii-13ff2,sdv-pii-iowpz,,sdv-pii-3qb43,0,01/12/2010,11/17/2011,05/24/2006,08/24/2010,-0.22327751313808697,6.964895409211494,,1.5841611589895175,0,2,11000,3,CA,1,0,0,0,0,advertising,0,0,0,0,0,0,1,0,0,0,sdv-pii-kx5ip,0,1,0,1,0,0,1.279438791433722,1,closed
26,26,CA,37.279499740974885,-116.41810429651565,sdv-pii-dmoof,sdv-pii-h20gy,sdv-pii-5jkui,,sdv-pii-pazt7,1,06/17/2007,09/24/2011,05/22/2006,10/09/2007,9.780611176545063,5.7672135032302245,4.502619465133688,14.316094482492826,0,7,25366764,3,OH,1,0,0,1,0,biotech,0,0,0,0,0,0,0,0,0,1,sdv-pii-gqzqo,0,0,1,1,0,0,2.5471039169473286,1,acquired
27,27,CA,41.783170780893805,-68.75986726619605,sdv-pii-sf8bu,sdv-pii-7wfjz,sdv-pii-lw0qx,,sdv-pii-ikdho,0,03/30/2006,03/05/2013,07/02/2003,10/04/2008,2.311276536103526,5.293705633658627,-1.5579698234038302,5.318076848793947,4,2,816768,3,CA,1,0,0,0,0,advertising,1,0,0,0,0,0,0,0,0,1,sdv-pii-elrvs,0,1,0,0,0,0,1.554071964238925,1,closed
28,28,CA,38.744063232613186,-76.07310911344999,sdv-pii-1sb5f,sdv-pii-lbfmi,sdv-pii-xi750,sdv-pii-gtbxq,sdv-pii-m21cc,1,11/28/2008,,04/16/2006,10/17/2009,16.460771347762883,0.7736213810446526,2.636622988574673,,4,1,11000,0,NY,0,1,0,0,1,software,0,0,0,0,0,0,0,0,0,1,sdv-pii-vf75b,0,1,1,1,0,0,1.2440204455902883,1,closed
29,29,CA,37.77378581447273,-67.65103397900279,sdv-pii-xwxmp,sdv-pii-6zt7u,sdv-pii-2c266,sdv-pii-9hack,sdv-pii-z1xme,1,09/05/2009,,04/30/2004,03/15/2014,7.881809835714662,3.440651950621656,3.373425032033245,2.9331332627337154,8,3,11000,3,CA,0,0,0,0,0,software,0,1,0,0,0,0,0,0,0,1,sdv-pii-bpm59,0,0,0,1,1,0,4.32066421999115,1,closed
30,30,CA,37.69241624918569,-88.38694380447963,sdv-pii-b5uoo,sdv-pii-j3yed,sdv-pii-7c24j,sdv-pii-yy3mi,sdv-pii-ekz8m,1,11/03/2011,,12/30/2005,02/23/2006,1.8829700016010018,7.862474449856755,,7.587176688145115,3,2,11000,0,CA,0,0,0,0,0,enterprise,1,0,0,0,0,0,0,0,0,0,sdv-pii-5z8jz,0,0,1,1,1,0,5.472303427461652,1,closed
31,31,CA,40.95626382630658,-117.1731807467073,sdv-pii-lmg86,sdv-pii-vtznq,sdv-pii-08pcv,,sdv-pii-98mxq,1,04/19/2006,,12/09/2003,12/17/2012,4.7649658669466435,8.121853103011158,0.6098318348497509,5.71069203549793,0,4,11000,2,CA,0,0,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,sdv-pii-chzxt,1,0,1,0,0,0,1.5197184729092272,1,closed
32,32,CA,38.48059790223081,-67.99771425365506,sdv-pii-nk1ix,sdv-pii-xiksu,sdv-pii-d4uu8,sdv-pii-5l55s,sdv-pii-v695z,1,08/11/2011,10/25/2011,10/11/2006,08/04/2012,4.716092769451234,21.8959,0.7090313922395937,4.421411012416129,5,1,11000,1,TX,1,0,0,0,1,web,1,0,0,0,0,0,0,0,0,1,sdv-pii-p6nt9,0,0,0,0,0,0,7.29027584391576,1,closed
33,33,CA,43.47237865271011,-122.7569561,sdv-pii-11hkl,sdv-pii-fveka,sdv-pii-fbvk3,,sdv-pii-3cyi2,0,10/15/2014,09/11/2011,01/13/2005,04/17/2009,4.736432965218552,-1.0530126059162281,-0.8666527793868724,10.252836062736556,3,2,11000,3,MA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,0,sdv-pii-h62zy,0,0,1,1,0,0,1.2347218655307548,1,closed
34,34,CA,37.255386189568945,-67.35492197352235,sdv-pii-fxwzn,sdv-pii-6kj7r,sdv-pii-el14v,,sdv-pii-ptwfk,1,07/15/2009,11/10/2011,06/16/2008,01/10/2012,0.520457887666336,7.487011867119929,1.536692646183799,14.756445518336243,14,5,11000,1,NY,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,sdv-pii-x3wcs,0,0,1,1,0,0,2.497186527492556,1,closed
35,35,NY,37.40656962383834,-63.655863293756795,sdv-pii-l8pa6,sdv-pii-2cu0n,sdv-pii-5twjt,sdv-pii-zkjng,sdv-pii-zj6il,1,04/08/2005,11/25/2011,01/21/2004,05/26/2012,1.6793633826571228,3.2405420556910034,0.30056725608351,12.904412085284232,0,1,11000,1,CA,1,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,sdv-pii-f9h3b,1,1,0,0,0,0,1.623579881920369,1,acquired
36,36,CA,37.46358645637351,-115.12202788252206,sdv-pii-osh5g,sdv-pii-1sx93,sdv-pii-1gova,,sdv-pii-utdtv,0,06/24/2009,,09/11/2007,07/19/2010,9.053274902377417,7.982177045933945,0.7298456763335301,4.9508648602849314,2,2,11000,1,IL,1,0,0,0,0,public_relations,0,0,0,1,0,0,0,0,0,0,sdv-pii-qfb3m,1,0,1,0,0,0,5.548682581929063,0,closed
37,37,CA,37.66129576455023,-122.5510102094948,sdv-pii-b4k8u,sdv-pii-kno75,sdv-pii-y0yl6,,sdv-pii-yjhih,1,06/22/2006,,08/23/2009,05/01/2014,0.944233688670221,7.806096457735112,2.8706914133777435,4.936031800107713,23,1,11000,3,CA,0,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,sdv-pii-iifod,0,0,0,1,0,0,1.0,1,closed
38,38,CA,35.391290864171765,-81.70471039082574,sdv-pii-j3wyo,sdv-pii-dorsj,sdv-pii-947f5,sdv-pii-f2ssh,sdv-pii-bvrk9,0,09/28/2005,10/02/2011,08/30/2004,05/25/2009,2.5000251812366763,7.965928701105875,5.211545032010607,,2,1,11000,1,CA,0,0,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,1,sdv-pii-0q435,0,0,1,0,0,0,2.289620381859544,1,closed
39,39,WA,37.50121303147256,-120.5819185781455,sdv-pii-t4uoo,sdv-pii-u0qe2,sdv-pii-ther1,,sdv-pii-gzmqs,1,12/07/2006,,03/14/2004,04/11/2011,0.8445446941631312,3.93879692876569,0.1268121737279584,,1,3,7484873,3,NY,0,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,0,sdv-pii-lvx9h,1,0,0,1,0,0,9.070510104505724,1,closed
40,40,CA,37.62771606774777,-120.01325727458207,sdv-pii-gen1v,sdv-pii-9n1oa,sdv-pii-1l3tg,,sdv-pii-4y1j7,0,03/23/2005,,06/20/2008,11/16/2007,0.600254200961124,5.519479346066726,-0.826357831225923,,4,2,11000,5,CA,0,0,0,0,0,semiconductor,1,0,0,0,0,0,0,0,0,0,sdv-pii-5sezh,1,0,1,1,1,0,6.0150552695707376,0,acquired
41,41,CA,39.77256260244241,-80.92946375615746,sdv-pii-gllzf,sdv-pii-g58zt,sdv-pii-8wb78,,sdv-pii-vjyrk,1,06/30/2009,,08/31/2009,12/30/2008,11.325171590103256,11.501848436929464,6.747071444123312,0.7474948830028965,12,4,11000,1,CA,1,0,1,0,0,music,0,0,1,1,1,0,0,0,0,0,sdv-pii-83hy1,0,0,1,1,0,0,2.179108547256358,1,closed
42,42,PA,36.771652345922796,-73.18357222760383,sdv-pii-ky4dk,sdv-pii-iw6wp,sdv-pii-pfs2t,sdv-pii-0b57x,sdv-pii-78uqb,1,12/06/2010,,12/18/2007,12/30/2013,-0.42631430507722734,7.171012436429787,,7.216835080489848,12,2,11000,1,TX,1,0,1,0,1,games_video,0,0,1,0,0,0,0,0,0,0,sdv-pii-ua5vg,1,0,1,0,0,0,6.8511895784078005,1,closed
43,43,CA,37.846784887850205,-68.28505140851657,sdv-pii-rg06z,sdv-pii-dtc0p,sdv-pii-54mlj,,sdv-pii-dhs1r,0,11/09/2004,02/26/2013,05/13/2004,07/18/2014,3.6009295771959167,2.587433088684223,5.765485130418925,8.610022795966062,15,2,29385780,2,CA,1,0,0,1,1,biotech,0,1,0,0,0,1,0,0,0,1,sdv-pii-w1o4x,1,1,0,0,0,0,1.2079352998373742,1,closed
44,44,VA,31.945489631954423,-64.50317585740135,sdv-pii-2yfot,sdv-pii-4uhz9,sdv-pii-2zb1f,,sdv-pii-49cwq,1,06/28/2001,,06/04/2004,03/24/2011,1.6316860582425488,8.829708832808452,3.1922970118627716,6.47592052452535,2,2,11000,2,MA,0,0,0,0,0,games_video,0,0,0,0,0,0,0,0,0,0,sdv-pii-v53f3,0,0,1,1,0,0,4.770188726628316,1,closed
45,45,NY,37.867553470655864,-64.61641564010712,sdv-pii-estrq,sdv-pii-7b91m,sdv-pii-l598r,sdv-pii-yb3dr,sdv-pii-cj7ec,0,11/27/2005,,09/10/2004,01/31/2012,2.109896503888134,11.698253127299658,5.344380723865556,4.21512923280017,1,3,20115434,0,CA,0,0,0,0,0,web,0,0,1,0,0,0,0,0,0,0,sdv-pii-n2c0r,0,0,0,0,0,1,4.096612060214214,1,closed
46,46,CA,37.658051335642305,-89.80057988192357,sdv-pii-qk7kq,sdv-pii-hietq,sdv-pii-a6ffr,,sdv-pii-a18h6,0,05/24/2006,,11/16/2000,01/24/2013,1.852215323632643,3.6746076475610896,,5.725588075735858,1,3,11000,1,CO,0,0,0,0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,sdv-pii-a5k8x,0,0,1,1,0,0,1.628499661299373,1,acquired
47,47,MA,37.588829798968376,-63.5799634075969,sdv-pii-o8llv,sdv-pii-tzqly,sdv-pii-iv7wl,,sdv-pii-gpw2s,0,05/18/2012,,12/19/2009,03/11/2013,13.964473921688409,9.232177167825073,-1.1829045960839208,,0,1,11000,2,CA,0,0,1,0,0,social,0,0,0,0,0,0,0,0,0,0,sdv-pii-x1h01,1,0,0,1,0,0,4.45151718549029,1,acquired
48,48,CA,51.55224429186109,-73.97163715381389,sdv-pii-f4wr3,sdv-pii-u9kmz,sdv-pii-b0254,sdv-pii-yruiw,sdv-pii-pt28a,1,08/27/2009,,10/24/2003,01/22/2013,9.661189733806495,6.327340115334657,,8.421135414363569,3,5,11000,2,CA,0,0,0,0,0,mobile,0,0,0,0,0,0,0,0,0,0,sdv-pii-jx069,1,0,0,0,0,0,7.363442990367276,1,closed
49,49,MA,27.79722232471505,-87.95967463795289,sdv-pii-1a2en,sdv-pii-t2ami,sdv-pii-or33z,sdv-pii-1o1o0,sdv-pii-ubqh2,1,09/28/2007,,07/16/2006,06/03/2014,1.9692634176524964,3.2056131277093973,,,7,2,11000,3,CA,1,0,0,0,0,semiconductor,1,0,0,0,0,0,0,0,0,0,sdv-pii-kqzva,1,0,1,0,0,0,4.573406166099344,1,acquired
50,50,CO,37.86679704418526,-65.83267776677003,sdv-pii-kai2l,sdv-pii-rbq0z,sdv-pii-v7wgr,sdv-pii-yi6l0,sdv-pii-r7e23,0,07/01/2009,10/17/2012,04/27/2010,12/04/2012,2.6161623930387155,9.423495223146567,3.960291711932004,5.66483538714308,9,2,11000,4,MA,0,0,0,0,0,software,1,1,0,0,0,0,0,0,0,1,sdv-pii-h0thu,1,0,1,1,0,0,6.153459055066006,1,acquired
51,51,TX,44.91425484693742,-115.94189806507279,sdv-pii-e274q,sdv-pii-moy9d,sdv-pii-fwl7k,sdv-pii-sj8c6,sdv-pii-7cwpn,0,03/10/2001,,02/09/2008,07/08/2012,1.400948803715314,14.617571620851571,,8.506212848893792,2,3,11000,3,CA,1,0,0,0,1,mobile,1,0,0,0,0,0,0,0,0,1,sdv-pii-emxc2,0,1,0,0,0,0,3.78467591257972,0,acquired
52,52,CA,37.70958888363877,-64.24641442348218,sdv-pii-rre6y,sdv-pii-t6yol,sdv-pii-2nmn9,sdv-pii-kltfy,sdv-pii-4eh17,0,12/16/2009,,10/17/2008,03/09/2012,4.282755373489832,11.305747059392333,,3.195872973670638,1,4,11000,3,CA,0,0,0,0,0,public_relations,0,0,0,1,0,0,0,0,0,1,sdv-pii-i27wg,1,0,0,0,0,0,7.145225506024197,1,acquired
53,53,NY,41.29840151701843,-61.98644613069885,sdv-pii-4gw1s,sdv-pii-c5gzu,sdv-pii-boyv6,sdv-pii-g4zst,sdv-pii-o370h,1,12/17/2004,07/10/2012,09/12/2008,12/22/2007,2.289861175232486,11.13163404490127,2.9064411849321354,1.3533226979782076,4,1,11000,1,CA,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,0,sdv-pii-ikemb,0,0,1,1,0,0,1.418066161308893,1,acquired
54,54,CA,37.946713055769905,-64.44238324775543,sdv-pii-t7frs,sdv-pii-pohf9,sdv-pii-4py1n,sdv-pii-o5evw,sdv-pii-ksykh,1,04/11/2008,,09/27/2006,09/18/2013,3.640470609054905,2.969194868499079,5.633780357050264,5.640935710974135,0,3,11000,3,NY,1,0,0,0,0,enterprise,0,0,0,0,0,0,0,0,0,0,sdv-pii-uaijd,0,0,1,1,0,0,1.573977219877425,1,closed
55,55,CA,48.10190363012894,-93.39003329237053,sdv-pii-6rgcn,sdv-pii-lval4,sdv-pii-75wnx,,sdv-pii-2yua6,0,08/15/2013,,11/08/2006,05/31/2006,-0.19063702465812082,10.60841360180261,1.8940682416462418,5.753037986361658,1,1,2049093,1,CA,0,0,0,0,0,mobile,0,0,0,0,0,0,0,0,0,0,sdv-pii-bz3xi,0,0,0,0,0,0,1.0,1,acquired
56,56,MA,41.119330572440305,-62.35342319940182,sdv-pii-v6egy,sdv-pii-51bim,sdv-pii-xb3gw,sdv-pii-eon4v,sdv-pii-b5hql,1,03/02/2012,,11/05/2008,01/17/2008,2.471622254112348,12.317431638797098,9.084961640545366,4.127723742895352,6,5,7806125,3,OH,0,0,0,0,0,software,0,0,0,0,0,0,0,0,0,1,sdv-pii-ipzs6,0,0,1,1,1,0,2.1184355087273374,1,acquired
57,57,TX,39.757001966459654,-116.71523227538536,sdv-pii-ck66n,sdv-pii-hetnu,sdv-pii-dle8h,sdv-pii-1eia2,sdv-pii-1rv66,1,05/10/2013,,08/23/2005,11/03/2013,2.693801974039859,10.757685690142264,3.9401322788952227,5.268820584928642,7,2,11000,2,MA,1,0,0,0,0,biotech,1,0,0,0,0,0,0,0,0,1,sdv-pii-gw38a,1,0,0,1,0,1,1.649286415541373,0,closed
58,58,NY,35.44386883197487,-67.59154358838614,sdv-pii-5o02w,sdv-pii-dm6b8,sdv-pii-o6ofi,sdv-pii-63lrp,sdv-pii-ongt3,0,01/13/2012,11/17/2011,02/22/2006,12/08/2009,2.2295123706043167,3.011428040444333,0.925901038510131,4.320122222573164,8,1,11000,2,NY,0,0,0,0,0,software,0,0,1,0,0,0,0,0,0,0,sdv-pii-zt7ij,1,0,0,0,0,1,1.3202842771872656,1,closed
59,59,CA,37.54687251024772,-65.82291350568849,sdv-pii-rn1ng,sdv-pii-9760k,sdv-pii-3x5om,sdv-pii-s2axf,sdv-pii-o4yj2,1,08/17/2005,,06/19/2006,11/28/2010,4.347446903607802,9.602267532312059,0.3049705373923084,7.059792712108095,0,2,11000,2,CA,1,0,0,0,0,security,0,1,0,0,0,0,0,0,0,1,sdv-pii-x98lx,1,0,1,0,0,0,1.1498421189582844,1,acquired
